2 dim & 3 basis,9107.539105,8820.067407,8549.540792,8294.960428,8055.38636,7829.934037,7617.771052,7418.11406,7230.225894,7053.412837,6887.022064,6730.439232,6583.08621,6444.418943,6313.925449,6191.123922,6075.560958,5966.809878,5864.469154,5768.160927,5677.529608,5592.240573,5511.978917,5436.448303,5365.369857,5298.481145,5235.535202,5176.299621,5120.555695,5068.097605,5018.731669,4972.275619,4928.55793,4887.417189,4848.701498,4812.267912,4777.98191,4745.716904,4715.353766,4686.780388,4659.891275,4634.587145,4610.774572,4588.365636,4567.2776,4547.432601,4528.75737,4511.182954,4494.644465,4479.080841,4464.434617,4450.651717,4437.681253,4425.475335,4413.988898,4403.17953,4393.007322,4383.434716,4374.42637,4365.949021,4357.971372,4350.463966,4343.399085,4336.750644,4330.494097,4324.606343,4319.065643,4313.85154,4308.944783,4304.327255,4299.981908,4295.892698,4292.044526,4288.423185,4285.015305,4281.808301,4278.790335,4275.950263,4273.277599,4270.762475,4268.395606,4266.168251,4264.072187,4262.099676,4260.243434,4258.496608,4256.852749,4255.305787,4253.85001,4252.480043,4251.190829,4249.977608,4248.835899,4247.761488,4246.750408,4245.798925,4244.903527,4244.060908,4243.267957,4242.521746,4241.81952,4241.158686,4240.536804,4239.951579,4239.400849,4238.882582,4238.394863,4237.935893,4237.503976,4237.097518,4236.715018,4236.355064,4236.016326,4235.697556,4235.397574,4235.115275,4234.849615,4234.599613,4234.364348,4234.14295,4233.934601,4233.738533,4233.554022,4233.380386,4233.216984,4233.063214,4232.918507,4232.782329,4232.654178
2 dim & 5 basis,28943.48154,26539.32809,24369.07011,22409.95235,20641.4334,19044.97026,17603.82395,16302.884,15128.50999,14068.38857,13111.40433,12247.52324,11467.68748,10763.72044,10128.241,9554.586137,9036.741046,8569.276106,8147.289929,7766.357974,7422.486154,7112.068959,6831.851654,6578.896149,6350.550196,6144.419578,5958.343009,5790.369468,5638.737747,5501.857982,5378.294982,5266.753186,5166.063073,5075.168904,4993.117651,4919.049003,4852.186348,4791.828629,4737.342992,4688.158155,4643.758412,4603.678232,4567.497371,4534.836473,4505.353088,4478.738081,4454.712393,4433.024114,4413.445843,4395.7723,4379.818179,4365.4162,4352.415358,4340.679339,4330.085091,4320.521534,4311.888393,4304.09515,4297.060093,4290.709459,4284.976662,4279.801595,4275.129996,4270.912885,4267.106044,4263.66956,4260.567401,4257.767041,4255.23912,4252.957131,4250.897149,4249.037574,4247.358911,4245.843558,4244.475626,4243.240775,4242.126056,4241.119782,4240.211403,4239.391395,4238.65116,4237.982937,4237.37972,4236.835186,4236.343625,4235.899883,4235.499308,4235.1377,4234.811269,4234.516592,4234.25058,4234.010444,4233.793666,4233.597975,4233.421318,4233.261845,4233.117882,4232.987922,4232.870601,4232.76469,4232.66908,4232.582768,4232.504849,4232.434507,4232.371005,4232.313676,4232.261922,4232.215199,4232.173018,4232.134937,4232.100556,4232.069517,4232.041494,4232.016194,4231.993351,4231.972727,4231.954105,4231.937292,4231.92211,4231.908402,4231.896024,4231.884846,4231.874752,4231.865636,4231.857404,4231.849968,4231.843253,4231.837186,4231.831707
2 dim & 7 basis,48041.32345,42140.53444,37034.4037,32615.91472,28792.46291,25483.9147,22620.92812,20143.49945,17999.70568,16144.61625,14539.35139,13150.26728,11948.25087,10908.10981,10008.04436,9229.190565,8555.22487,7972.022012,7467.358976,7030.658816,6652.768984,6325.769502,6042.806976,5797.950956,5586.069645,5402.722345,5244.066385,5106.776586,4987.975572,4885.17346,4796.215681,4719.237822,4652.626547,4594.985792,4545.107498,4501.946295,4464.597594,4432.278626,4404.312038,4380.111695,4359.170399,4341.049253,4325.368469,4311.799403,4300.057671,4289.897186,4281.105001,4273.496849,4266.913275,4261.216299,4256.286525,4252.020632,4248.329216,4245.134912,4242.370774,4239.978872,4237.909077,4236.118011,4234.568138,4233.226975,4232.066416,4231.06214,4230.193099,4229.441082,4228.790328,4228.227201,4227.739901,4227.318214,4226.953306,4226.63753,4226.36427,4226.127799,4225.923164,4225.746076,4225.592827,4225.460206,4225.345434,4225.246109,4225.16015,4225.085757,4225.021372,4224.965647,4224.917417,4224.875672,4224.839539,4224.808261,4224.781186,4224.757746,4224.737453,4224.719883,4224.704669,4224.691493,4224.680082,4224.670197,4224.661634,4224.654213,4224.647782,4224.642207,4224.637372,4224.633178,4224.629539,4224.62638,4224.623636,4224.621252,4224.619178,4224.617374,4224.615802,4224.614432,4224.613236,4224.612192,4224.611277,4224.610476,4224.609772,4224.609154,4224.608608,4224.608126,4224.607698,4224.607318,4224.606979,4224.606675,4224.606402,4224.606156,4224.605933,4224.60573,4224.605544,4224.605373,4224.605214,4224.605067,4224.60493
3 dim & 3 basis,18765.4878,18265.10508,17794.1398,17350.86252,16933.64546,16540.95653,16171.35374,15823.47986,15496.05744,15187.88414,14897.82831,14624.82482,14367.87117,14126.0238,13898.39459,13684.14768,13482.49631,13292.7,13114.06178,12945.92568,12787.67428,12638.72644,12498.53523,12366.58584,12242.39373,12125.50285,12015.48396,11911.93306,11814.46991,11722.73659,11636.39625,11555.13185,11478.64496,11406.65471,11338.89676,11275.12228,11215.09709,11158.60076,11105.42584,11055.37705,11008.27062,10963.93356,10922.20306,10882.92589,10845.9578,10811.16306,10778.41388,10747.59002,10718.57828,10691.27213,10665.57129,10641.38139,10618.6136,10597.18432,10577.01486,10558.03114,10540.16347,10523.34623,10507.51766,10492.61964,10478.59746,10465.39963,10452.9777,10441.28604,10430.28172,10419.92433,10410.17585,10401.00046,10392.36449,10384.23621,10376.58578,10369.38512,10362.60777,10356.22884,10350.22493,10344.57397,10339.25523,10334.24916,10329.53739,10325.10261,10320.92854,10316.99986,10313.30213,10309.82179,10306.54604,10303.46286,10300.56093,10297.8296,10295.25883,10292.83919,10290.56178,10288.41826,10286.40074,10284.50182,10282.71453,10281.03231,10279.44897,10277.95871,10276.55605,10275.23584,10273.99323,10272.82367,10271.72286,10270.68675,10269.71155,10268.79367,10267.92974,10267.11659,10266.35124,10265.63087,10264.95284,10264.31466,10263.71399,10263.14863,10262.61649,10262.11563,10261.6442,10261.20048,10260.78283,10260.38973,10260.01972,10259.67147,10259.34367,10259.03513,10258.74473,10258.47139,10258.2141,10257.97194,10257.74399
3 dim & 5 basis,74497.56144,68264.37737,62636.12023,57554.0822,52965.25304,48821.76711,45080.4041,41702.13821,38651.73109,35897.36421,33410.30706,31164.61737,29136.87057,27305.91543,25652.65343,24159.83956,22811.90241,21594.78178,20495.78201,19503.43953,18607.40332,17798.3269,17067.77089,16408.11491,15812.47816,15274.64762,14789.01322,14350.50936,13954.56204,13597.04118,13274.21751,12982.7237,12719.51918,12481.85852,12267.26268,12073.49324,11898.52902,11740.54497,11597.89318,11469.08566,11352.77884,11247.75952,11152.93227,11067.30794,10989.99341,10920.18221,10857.14614,10800.22768,10748.83313,10702.42638,10660.52339,10622.68705,10588.52271,10557.67399,10529.81912,10504.66755,10481.95693,10461.45035,10442.93393,10426.21451,10411.1177,10397.48603,10385.1773,10374.06312,10364.02757,10354.96596,10346.78377,10339.39566,10332.72456,10326.70088,10321.2618,10316.35057,10311.91597,10307.91175,10304.29614,10301.03141,10298.08353,10295.42173,10293.01826,10290.84804,10288.88844,10287.11901,10285.52131,10284.07866,10282.77601,10281.59979,10280.53772,10279.57872,10278.71278,10277.93089,10277.22487,10276.58737,10276.01174,10275.49198,10275.02265,10274.59887,10274.21622,10273.8707,10273.55871,10273.277,10273.02263,10272.79294,10272.58554,10272.39827,10272.22917,10272.07648,10271.93861,10271.81412,10271.7017,10271.6002,10271.50854,10271.42578,10271.35105,10271.28357,10271.22264,10271.16761,10271.11793,10271.07307,10271.03256,10270.99598,10270.96295,10270.93312,10270.90619,10270.88186,10270.8599,10270.84007,10270.82216,10270.80599,10270.79138
3 dim & 7 basis,29176.49222,26632.03241,24429.7913,22523.74199,20874.04795,19446.23053,18210.44829,17140.87333,16215.1515,15413.93517,14720.47891,14120.28945,13600.82282,13151.22214,12762.09075,12425.29579,12133.79825,11881.50581,11663.14556,11474.15378,11310.58052,11169.00711,11046.47467,10940.42226,10848.6334,10769.18969,10700.43078,10640.9196,10589.41237,10544.8326,10506.24857,10472.85388,10443.95059,10418.93463,10397.28316,10378.54368,10362.32453,10348.28675,10336.13694,10325.62119,10316.51972,10308.64232,10301.82435,10295.92333,10290.81592,10286.3954,10282.56938,10279.25789,10276.39175,10273.91105,10271.76395,10269.90558,10268.29711,10266.90494,10265.69996,10264.65701,10263.75428,10262.97293,10262.29662,10261.71123,10261.20454,10260.76594,10260.3863,10260.05767,10259.7732,10259.52695,10259.31378,10259.12923,10258.96947,10258.83115,10258.71139,10258.6077,10258.51791,10258.44015,10258.37281,10258.31449,10258.26397,10258.2202,10258.18227,10258.14941,10258.12092,10258.09622,10258.07481,10258.05623,10258.0401,10258.02611,10258.01395,10258.00339,10257.99421,10257.98622,10257.97926,10257.97319,10257.9679,10257.96328,10257.95924,10257.9557,10257.9526,10257.94987,10257.94746,10257.94534,10257.94346,10257.94179,10257.9403,10257.93898,10257.93778,10257.93671,10257.93574,10257.93486,10257.93405,10257.93331,10257.93263,10257.932,10257.93141,10257.93086,10257.93034,10257.92985,10257.92938,10257.92894,10257.92851,10257.92809,10257.9277,10257.92731,10257.92693,10257.92656,10257.9262,10257.92585,10257.9255,10257.92515,10257.92482
4 dim & 3 basis,18280.91591,18143.02978,18013.24198,17891.07687,17776.08676,17667.85024,17565.97067,17470.07469,17379.81086,17294.84841,17214.87597,17139.60047,17068.74604,17002.05304,16939.27704,16880.188,16824.56938,16772.21734,16722.94004,16676.5569,16632.89792,16591.80312,16553.1219,16516.71249,16482.44149,16450.18328,16419.81966,16391.23935,16364.33762,16339.01588,16315.18133,16292.74662,16271.62955,16251.75273,16233.0433,16215.43272,16198.85644,16183.25371,16168.56735,16154.74356,16141.73166,16129.48397,16117.9556,16107.10432,16096.89036,16087.27627,16078.22684,16069.7089,16061.69122,16054.14444,16047.0409,16040.35455,16034.0609,16028.13689,16022.56081,16017.31221,16012.37188,16007.72169,16003.34462,15999.22462,15995.34659,15991.69632,15988.26044,15985.02634,15981.98219,15979.11683,15976.41975,15973.88107,15971.49149,15969.24226,15967.12512,15965.13232,15963.25656,15961.49096,15959.82906,15958.26476,15956.79233,15955.40638,15954.10182,15952.87388,15951.71805,15950.63011,15949.60606,15948.64215,15947.73485,15946.88083,15946.07697,15945.32032,15944.6081,15943.93771,15943.30669,15942.71273,15942.15365,15941.6274,15941.13206,15940.6658,15940.22693,15939.81383,15939.42499,15939.05898,15938.71446,15938.39018,15938.08494,15937.79762,15937.52717,15937.27261,15937.03299,15936.80744,15936.59514,15936.3953,15936.20719,15936.03013,15935.86346,15935.70658,15935.55892,15935.41992,15935.28908,15935.16592,15935.04999,15934.94087,15934.83815,15934.74146,15934.65045,15934.56478,15934.48414,15934.40823,15934.33677,15934.26951,15934.2062
4 dim & 5 basis,33544.51407,31841.14547,30302.6866,28913.17191,27658.18152,26524.69162,25500.93928,24576.30038,23741.17935,22986.90963,22305.66368,21690.3718,21134.6487,20632.72732,20179.39888,19769.95893,19400.15844,19066.15977,18764.4968,18492.03899,18245.95887,18023.70272,17822.96404,17641.65965,17477.90803,17330.00984,17196.43024,17075.78299,16966.81607,16868.39865,16779.50939,16699.22585,16626.71486,16561.22393,16502.07343,16448.64951,16400.39777,16356.81745,16317.45631,16281.90587,16249.7972,16220.79708,16194.60458,16170.94786,16149.58144,16130.28358,16112.85401,16097.11186,16082.89376,16070.05216,16058.45381,16047.97833,16038.51701,16029.97167,16022.25364,16015.28281,16008.98685,16003.30042,15998.16451,15993.52581,15989.33621,15985.5522,15982.13454,15979.04775,15976.25979,15973.74174,15971.46747,15969.41337,15967.55813,15965.88249,15964.36908,15963.00218,15961.7676,15960.65255,15959.64544,15958.73582,15957.91427,15957.17224,15956.50205,15955.89673,15955.35001,15954.85622,15954.41022,15954.0074,15953.64357,15953.31495,15953.01815,15952.75007,15952.50794,15952.28924,15952.09172,15951.9133,15951.75216,15951.60661,15951.47514,15951.3564,15951.24914,15951.15226,15951.06476,15950.98572,15950.91433,15950.84984,15950.79159,15950.73897,15950.69144,15950.6485,15950.60972,15950.57468,15950.54303,15950.51443,15950.4886,15950.46527,15950.44418,15950.42513,15950.40792,15950.39237,15950.37832,15950.36562,15950.35414,15950.34377,15950.3344,15950.32593,15950.31827,15950.31134,15950.30508,15950.29942,15950.29431,15950.28968,15950.28549
4 dim & 7 basis,25040.51055,23817.96921,22759.52567,21843.15359,21049.78318,20362.90431,19768.22297,19253.36377,18807.61243,18421.69284,18087.57396,17798.30275,17547.85945,17331.03232,17143.30915,16980.78343,16840.07297,16718.24958,16612.77811,16521.4637,16442.40609,16373.96008,16314.70132,16263.39662,16218.97835,16180.52216,16147.22777,16118.40234,16093.446,16071.83944,16053.133,16036.93743,16022.91569,16010.776,16000.26574,15991.16619,15983.28799,15976.46722,15970.56193,15965.44925,15961.02278,15957.19041,15953.8724,15950.99972,15948.51258,15946.35924,15944.49488,15942.88073,15941.4832,15940.2732,15939.22557,15938.31852,15937.53318,15936.8532,15936.26445,15935.75467,15935.31328,15934.93109,15934.60016,15934.31359,15934.06545,15933.85057,15933.66449,15933.50334,15933.36377,15933.24289,15933.13819,15933.0475,15932.96894,15932.90088,15932.8419,15932.7908,15932.74651,15932.70812,15932.67484,15932.64598,15932.62095,15932.59923,15932.58038,15932.56402,15932.5498,15932.53745,15932.52671,15932.51737,15932.50924,15932.50215,15932.49597,15932.49057,15932.48585,15932.48172,15932.4781,15932.47492,15932.47212,15932.46965,15932.46746,15932.46553,15932.46381,15932.46227,15932.4609,15932.45966,15932.45854,15932.45753,15932.45661,15932.45577,15932.45499,15932.45427,15932.45361,15932.45298,15932.4524,15932.45185,15932.45133,15932.45083,15932.45035,15932.44989,15932.44945,15932.44902,15932.4486,15932.4482,15932.4478,15932.44741,15932.44703,15932.44665,15932.44628,15932.44591,15932.44555,15932.44519,15932.44483,15932.44448,15932.44412
5 dim & 7 basis,34021.84619,33309.7414,32639.35978,32008.25673,31414.13085,30854.8156,30328.27138,29832.5781,29365.92815,28926.61984,28513.0512,28123.7141,27757.18878,27412.13867,27087.30551,26781.50476,26493.62128,26222.60528,25967.46846,25727.28046,25501.16539,25288.2987,25087.90415,24899.25098,24721.65126,24554.45734,24397.05953,24248.88386,24109.39,23978.06928,23854.4428,23738.05977,23628.49576,23525.35126,23428.25013,23336.83828,23250.78236,23169.76858,23093.5015,23021.703,22954.11127,22890.47983,22830.57663,22774.18324,22721.094,22671.11534,22624.06498,22579.77137,22538.07297,22498.81773,22461.86251,22427.07254,22394.32095,22363.48832,22334.46221,22307.13677,22281.41237,22257.19518,22234.39691,22212.93442,22192.72943,22173.70828,22155.8016,22138.94409,22123.07428,22108.1343,22094.06967,22080.8291,22068.36431,22056.62984,22045.58291,22035.18322,22025.39286,22016.17613,22007.49941,21999.33107,21991.64132,21984.40212,21977.58706,21971.17131,21965.13145,21959.44548,21954.09265,21949.05344,21944.30949,21939.84348,21935.63914,21931.68113,21927.95502,21924.44723,21921.14495,21918.03616,21915.10951,21912.35433,21909.76057,21907.31879,21905.02006,21902.85602,21900.81876,21898.90087,21897.09534,21895.3956,21893.79544,21892.28903,21890.87088,21889.53582,21888.27897,21887.09576,21885.98188,21884.93325,21883.94605,21883.0167,21882.14179,21881.31813,21880.54273,21879.81276,21879.12556,21878.47861,21877.86956,21877.2962,21876.75642,21876.24826,21875.76988,21875.31952,21874.89554,21874.49639,21874.12063,21873.76688,21873.43385
5 dim & 3 basis,55014.25266,53438.29124,51954.60127,50557.78033,49242.74228,48004.69881,46839.14192,45741.82757,44708.76023,43736.17826,42820.54028,41958.51228,41146.95542,40382.91464,39663.60792,38986.41611,38348.87341,37748.65839,37183.58554,36651.59731,36150.75661,35679.23979,35235.32995,34817.41072,34423.96036,34053.54625,33704.81962,33376.51069,33067.42401,32776.43414,32502.48152,32244.56863,32001.75636,31773.16057,31557.9489,31355.33772,31164.58928,30985.00902,30815.94305,30656.77578,30506.92763,30365.85298,30233.03815,30107.99953,29990.28183,29879.45641,29775.11973,29676.89189,29584.41522,29497.35299,29415.38818,29338.22235,29265.57451,29197.18016,29132.79023,29072.17029,29015.0996,28961.37034,28910.7869,28863.16507,28818.33146,28776.12282,28736.38546,28698.97469,28663.75429,28630.59601,28599.37912,28569.98994,28542.32148,28516.27298,28491.7496,28468.66203,28446.92622,28426.46302,28407.19792,28389.06078,28371.98554,28355.91004,28340.77574,28326.52753,28313.11355,28300.48493,28288.59571,28277.40258,28266.8648,28256.94399,28247.60403,28238.81091,28230.53262,28222.73901,28215.4017,28208.49398,28201.99069,28195.86816,28190.1041,28184.6775,28179.56863,28174.75887,28170.23071,28165.96767,28161.95421,28158.17574,28154.61848,28151.26949,28148.11658,28145.14826,28142.35373,28139.72281,28137.24592,28134.91404,28132.71869,28130.65186,28128.70604,28126.87414,28125.14949,28123.52581,28121.99719,28120.55806,28119.20318,28117.92763,28116.72675,28115.59617,28114.53179,28113.52971,28112.5863,28111.69812,28110.86193,28110.07469,28109.33354
5 dim & 5 basis,27580.76749,27027.68176,26528.05327,26076.71522,25669.00021,25300.69194,24967.98165,24667.42869,24395.92496,24150.66277,23929.10581,23728.96289,23548.16429,23384.84033,23237.30203,23104.02367,22983.62698,22874.86691,22776.61876,22687.8665,22607.69234,22535.26719,22469.84207,22410.74042,22357.35105,22309.12186,22265.5541,22226.19723,22190.64425,22158.52751,22129.51489,22103.30636,22079.63091,22058.24369,22038.92356,22021.47071,22005.70467,21991.46241,21978.59664,21966.97433,21956.4753,21946.99096,21938.42326,21930.68359,21923.69193,21917.37598,21911.67042,21906.51626,21901.86021,21897.65412,21893.85451,21890.42208,21887.32136,21884.52026,21881.98985,21879.70395,21877.63893,21875.77344,21874.0882,21872.56579,21871.19046,21869.94801,21868.82559,21867.8116,21866.89555,21866.06799,21865.32035,21864.64492,21864.03472,21863.48343,21862.98537,21862.5354,21862.12886,21861.76155,21861.42969,21861.12985,21860.85893,21860.61414,21860.39295,21860.19309,21860.01248,21859.84927,21859.70178,21859.56849,21859.44803,21859.33915,21859.24074,21859.15178,21859.07137,21858.99867,21858.93294,21858.8735,21858.81975,21858.77114,21858.72718,21858.6874,21858.65141,21858.61885,21858.58937,21858.56269,21858.53853,21858.51664,21858.49682,21858.47885,21858.46257,21858.4478,21858.4344,21858.42224,21858.4112,21858.40117,21858.39205,21858.38375,21858.3762,21858.36933,21858.36306,21858.35734,21858.35211,21858.34734,21858.34297,21858.33896,21858.33529,21858.33191,21858.3288,21858.32594,21858.32329,21858.32085,21858.31858,21858.31648,21858.31452
6 dim & 3 basis,24280.17868,23958.10934,23679.19812,23437.66171,23228.49179,23047.35116,22890.48381,22754.63705,22636.99409,22535.11554,22446.88894,22370.4849,22304.31915,22247.01973,22197.39854,22154.42667,22117.2131,22084.98619,22057.07771,22032.909,22011.9789,21993.85344,21978.15679,21964.56347,21952.79164,21942.59722,21933.76882,21926.12339,21919.50242,21913.76862,21908.80311,21904.50294,21900.77894,21897.55392,21894.761,21892.34229,21890.24764,21888.43362,21886.86263,21885.5021,21884.32383,21883.3034,21882.41965,21881.65427,21880.9914,21880.4173,21879.92008,21879.48943,21879.11644,21878.79337,21878.51354,21878.27115,21878.06119,21877.8793,21877.72174,21877.58523,21877.46697,21877.36449,21877.27569,21877.19874,21877.13204,21877.07423,21877.02411,21876.98064,21876.94295,21876.91026,21876.88189,21876.85726,21876.83588,21876.81732,21876.80118,21876.78715,21876.77495,21876.76432,21876.75507,21876.747,21876.73996,21876.7338,21876.72842,21876.7237,21876.71956,21876.71592,21876.71271,21876.70987,21876.70737,21876.70514,21876.70315,21876.70138,21876.69979,21876.69836,21876.69706,21876.69588,21876.69481,21876.69382,21876.69292,21876.69207,21876.69129,21876.69056,21876.68987,21876.68921,21876.68859,21876.688,21876.68743,21876.68688,21876.68636,21876.68584,21876.68534,21876.68486,21876.68438,21876.68391,21876.68345,21876.683,21876.68255,21876.6821,21876.68167,21876.68123,21876.6808,21876.68037,21876.67994,21876.67952,21876.6791,21876.67868,21876.67826,21876.67784,21876.67742,21876.677,21876.67659,21876.67617,21876.67576
6 dim & 5 basis,28978.76638,28893.8154,28817.06729,28747.73,28685.08792,28628.49457,28577.36588,28531.17419,28489.44276,28451.74093,28417.67959,28386.90721,28359.10621,28333.98967,28311.29839,28290.79817,28272.27745,28255.54509,28240.4284,28226.77137,28214.43306,28203.28613,28193.21555,28184.11737,28175.89771,28168.47173,28161.76279,28155.70167,28150.2258,28145.27867,28140.80923,28136.77135,28133.12336,28129.82761,28126.85009,28124.16007,28121.72979,28119.53417,28117.55056,28115.75847,28114.13941,28112.67669,28111.3552,28110.1613,28109.08267,28108.10819,28107.2278,28106.4324,28105.71381,28105.06459,28104.47805,28103.94814,28103.46939,28103.03685,28102.64608,28102.29302,28101.97405,28101.68587,28101.42551,28101.19028,28100.97776,28100.78575,28100.61226,28100.45553,28100.31391,28100.18596,28100.07036,28099.96591,28099.87154,28099.78627,28099.70923,28099.63962,28099.57672,28099.51988,28099.46852,28099.42212,28099.38018,28099.34229,28099.30804,28099.2771,28099.24913,28099.22385,28099.20101,28099.18036,28099.1617,28099.14483,28099.12958,28099.11579,28099.10333,28099.09206,28099.08187,28099.07265,28099.06432,28099.05678,28099.04996,28099.04379,28099.03821,28099.03315,28099.02858,28099.02444,28099.02068,28099.01729,28099.01421,28099.01142,28099.00889,28099.00659,28099.00451,28099.00262,28099.0009,28098.99934,28098.99793,28098.99664,28098.99546,28098.99439,28098.99342,28098.99252,28098.99171,28098.99097,28098.99029,28098.98966,28098.98909,28098.98856,28098.98808,28098.98763,28098.98722,28098.98683,28098.98648,28098.98615,28098.98584
6 dim & 7 basis,31315.89166,30885.79322,30513.24543,30190.5475,29911.0291,29668.91244,29459.19285,29277.53531,29120.18489,28983.88909,28865.83061,28763.56915,28674.99093,28598.26502,28531.80548,28474.23857,28424.37438,28381.18224,28343.76935,28311.36241,28283.29158,28258.97665,28237.91504,28219.67144,28203.86877,28190.18041,28178.32345,28168.05284,28159.15631,28151.44998,28144.77461,28138.99225,28133.98339,28129.64455,28125.88606,28122.63026,28119.80991,28117.36672,28115.25023,28113.41673,28111.82834,28110.45228,28109.26013,28108.22728,28107.33241,28106.55707,28105.88525,28105.30311,28104.79865,28104.36147,28103.98257,28103.65415,28103.36945,28103.12263,28102.90862,28102.72303,28102.56205,28102.42239,28102.30121,28102.19601,28102.10468,28102.02535,28101.95641,28101.89648,28101.84435,28101.79897,28101.75945,28101.725,28101.69494,28101.66868,28101.64572,28101.62561,28101.60797,28101.59248,28101.57883,28101.5668,28101.55615,28101.54672,28101.53832,28101.53083,28101.52412,28101.51809,28101.51265,28101.50772,28101.50323,28101.49912,28101.49534,28101.49185,28101.48861,28101.48558,28101.48274,28101.48006,28101.47752,28101.4751,28101.47278,28101.47056,28101.46841,28101.46633,28101.46432,28101.46235,28101.46043,28101.45854,28101.45669,28101.45487,28101.45307,28101.45129,28101.44954,28101.44779,28101.44607,28101.44435,28101.44265,28101.44095,28101.43926,28101.43758,28101.43591,28101.43424,28101.43257,28101.43091,28101.42925,28101.4276,28101.42595,28101.4243,28101.42265,28101.421,28101.41936,28101.41771,28101.41607,28101.41443,28101.41278